City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,st. john's,47.5614705,-52.7126162,14.66,91,100,3.09,CA,2024-09-30
1,kapuskasing,49.416667,-82.433333,20.0,40,20,5.66,CA,2024-09-30
2,iqaluit,63.74944,-68.521857,7.97,70,75,2.57,CA,2024-09-30
3,afif,23.9023697,42.9150847,27.77,15,2,4.62,SA,2024-09-30
4,sete,43.4014434,3.6959771,18.92,79,48,2.83,FR,2024-09-30
5,jayapura,-2.5387539,140.7037389,27.34,89,42,1.96,ID,2024-09-30
6,tocopilla,-22.0887189,-70.1960657,20.1,60,45,3.85,CL,2024-09-30
7,waitangi,-35.2704653,174.0804593,13.64,93,100,4.73,NZ,2024-09-30
8,nolinsk,57.5579577,49.9294668,8.27,88,100,2.29,RU,2024-09-30
9,bredasdorp,-34.533055,20.042778,8.71,72,33,3.62,ZA,2024-09-30
10,kudahuvadhoo,2.6704688,72.89060791131976,28.16,76,99,5.24,MV,2024-09-30
11,grytviken,-54.2806481,-36.5098,-1.1,74,18,7.84,GS,2024-09-30
12,afaahiti,-17.7390418,-149.28997267755395,25.54,82,22,7.0,FR,2024-09-30
13,olonkinbyen,70.9224474,-8.7159894,-1.25,64,100,7.93,NO,2024-09-30
14,port-aux-francais,-49.3497607,70.2199565,2.72,97,100,20.62,FR,2024-09-30
15,mount isa,-20.7289898,139.4931522,22.92,31,0,4.63,AU,2024-09-30
16,albu kamal,33.992409,44.344556,30.1,17,0,2.49,IQ,2024-09-30
17,rio gallegos,-51.64607595,-69.26322885452636,7.04,42,20,16.46,AR,2024-09-30
18,puerto aysen,-45.4068167,-72.6976787,5.16,93,92,1.63,CL,2024-09-30
19,yellowknife,62.4540807,-114.377385,5.61,84,75,8.23,CA,2024-09-30
20,vangaindrano,-23.3503159,47.6043136,21.31,90,30,3.96,MG,2024-09-30
21,cadale,2.7616074,46.3220127,25.76,83,100,5.09,SO,2024-09-30
22,dudinka,69.406067,86.175072,3.56,97,100,2.72,RU,2024-09-30
23,matamey,13.1937708,8.9070558,32.81,33,23,3.07,NE,2024-09-30
24,thunder bay,48.406414,-89.259796,22.06,56,20,5.66,CA,2024-09-30
25,al kharijah,15.35954,44.21674,20.81,39,73,3.92,YE,2024-09-30
26,whitehorse,60.721571,-135.054932,3.94,75,40,1.03,CA,2024-09-30
27,leticia,-4.2129211,-69.9425963,29.99,70,20,1.54,CO,2024-09-30
28,vazante,-17.9896107,-46.9003899,33.09,22,9,2.87,BR,2024-09-30
29,aasiaat,68.709588,-52.8512976,2.38,89,100,1.98,GL,2024-09-30
30,ancud,-41.8682162,-73.8287225,8.21,54,58,5.85,CL,2024-09-30
31,nedroma,35.0107602,-1.74805,22.64,81,7,2.32,DZ,2024-09-30
32,forest grove,45.5197452,-123.1114405,21.22,41,0,2.68,US,2024-09-30
33,isafjordur,66.0726918,-23.1193541,0.7,81,100,5.77,IS,2024-09-30
34,jamestown,-15.9277296,-5.7160872,18.96,74,97,10.47,SH,2024-09-30
35,tobelo,1.726284,127.9999457,26.17,82,100,0.62,ID,2024-09-30
36,port lincoln,-34.7211905,135.8592218,10.34,92,0,1.91,AU,2024-09-30
37,harper,41.3624875,-92.0510088,28.89,41,0,3.22,US,2024-09-30
38,saint-pierre,48.3832725,7.4718731,16.81,68,100,3.78,FR,2024-09-30
39,longyearbyen,78.2231558,15.6463656,-0.85,93,75,4.12,NO,2024-09-30
40,san fernando,36.4643934,-6.198203,22.85,71,4,5.59,ES,2024-09-30
41,taiohae,-8.899131,-140.15592044103448,22.78,73,5,7.52,FR,2024-09-30
42,margaret river,-33.9531776,115.0769369,9.78,94,100,2.34,AU,2024-09-30
43,edinburgh of the seven seas,-37.0675894,-12.3108303,13.23,86,10,6.66,SH,2024-09-30
